,성공적인 직업생활,점수,등급,백분위,표준점수,농업 기초 기술,점수,등급,백분위,표준점수,공업 일반,점수,등급,백분위,표준점수,상업 경제,점수,등급,백분위,표준점수,수산·해운 산업 기초,점수,등급,백분위,표준점수,인간발달,점수,등급,백분위,표준점수,생활과 윤리,점수,등급,백분위,표준점수,윤리와 사상,점수,등급,백분위,표준점수,한국지리,점수,등급,백분위,표준점수,세계지리,점수,등급,백분위,표준점수,동아시아사,점수,등급,백분위,표준점수,세계사,점수,등급,백분위,표준점수,경제,점수,등급,백분위,표준점수,정치와 법,점수,등급,백분위,표준점수,사회·문화,점수,등급,백분위,표준점수,물리학 Ⅰ,점수,등급,백분위,표준점수,화학 Ⅰ,점수,등급,백분위,표준점수,생명과학 Ⅰ,점수,등급,백분위,표준점수,지구과학 Ⅰ,점수,등급,백분위,표준점수,물리학 Ⅱ,점수,등급,백분위,표준점수,화학 Ⅱ,점수,등급,백분위,표준점수,생명과학 Ⅱ,점수,등급,백분위,표준점수,지구과학 Ⅱ,점수,등급,백분위,표준점수
1,,50.0,1.0,99.0,71.0,,50.0,1.0,100.0,75.0,,50.0,1.0,96.0,66.0,,50.0,1.0,100.0,77.0,,50.0,1.0,97.0,67.0,,50.0,1.0,97.0,70.0,,50.0,1.0,99.0,66.0,,50.0,1.0,100.0,68.0,,50.0,1.0,98.0,65.0,,50.0,1.0,97.0,66.0,,50.0,1.0,97.0,66.0,,50.0,1.0,97.0,66.0,,50.0,1.0,97.0,66.0,,50.0,1.0,97.0,63.0,,50.0,1.0,100.0,68.0,,50.0,1.0,100.0,72.0,,50.0,1.0,100.0,68.0,,50.0,1.0,100.0,72.0,,50.0,1.0,100.0,74.0,,50.0,1.0,99.0,68.0,,50.0,1.0,99.0,69.0,,50.0,1.0,100.0,69.0,,50.0,1.0,100.0,77.0
2,,48.0,1.0,98.0,69.0,,48.0,1.0,99.0,73.0,,48.0,2.0,88.0,64.0,,48.0,1.0,100.0,75.0,,49.0,1.0,94.0,66.0,,48.0,2.0,92.0,68.0,,48.0,1.0,94.0,64.0,,49.0,1.0,99.0,67.0,,49.0,2.0,93.0,64.0,,48.0,2.0,92.0,64.0,,49.0,2.0,94.0,65.0,,48.0,2.0,90.0,64.0,,49.0,2.0,93.0,65.0,,49.0,2.0,90.0,62.0,,48.0,1.0,98.0,66.0,,48.0,1.0,100.0,70.0,,48.0,1.0,99.0,66.0,,48.0,1.0,100.0,70.0,,48.0,1.0,100.0,72.0,,48.0,1.0,97.0,66.0,,48.0,1.0,96.0,67.0,,48.0,1.0,99.0,67.0,,48.0,1.0,100.0,75.0
3,,47.0,1.0,96.0,68.0,,44.0,1.0,97.0,69.0,,47.0,3.0,83.0,63.0,,47.0,1.0,99.0,74.0,,48.0,2.0,90.0,65.0,,47.0,2.0,90.0,67.0,,47.0,2.0,90.0,63.0,,48.0,1.0,97.0,66.0,,48.0,2.0,90.0,63.0,,47.0,3.0,87.0,63.0,,48.0,2.0,90.0,64.0,,47.0,3.0,86.0,63.0,,48.0,2.0,90.0,64.0,,48.0,3.0,85.0,61.0,,47.0,1.0,97.0,65.0,,47.0,1.0,99.0,69.0,,47.0,1.0,98.0,65.0,,47.0,1.0,100.0,69.0,,47.0,1.0,99.0,71.0,,47.0,2.0,94.0,65.0,,47.0,2.0,94.0,66.0,,47.0,1.0,98.0,66.0,,47.0,1.0,100.0,74.0
4,,46.0,2.0,95.0,67.0,,43.0,1.0,96.0,68.0,,46.0,3.0,82.0,62.0,,46.0,1.0,98.0,73.0,,46.0,3.0,84.0,63.0,,46.0,2.0,89.0,66.0,,46.0,2.0,89.0,62.0,,47.0,2.0,95.0,65.0,,47.0,3.0,85.0,62.0,,46.0,3.0,84.0,62.0,,47.0,3.0,87.0,63.0,,46.0,3.0,82.0,62.0,,47.0,3.0,88.0,63.0,,47.0,3.0,78.0,60.0,,46.0,1.0,96.0,64.0,,46.0,1.0,98.0,68.0,,46.0,1.0,97.0,64.0,,46.0,1.0,99.0,68.0,,46.0,1.0,98.0,70.0,,46.0,2.0,92.0,64.0,,46.0,2.0,92.0,65.0,,46.0,1.0,97.0,65.0,,46.0,1.0,99.0,73.0
5,,45.0,2.0,94.0,66.0,,42.0,1.0,95.0,67.0,,45.0,3.0,78.0,61.0,,45.0,1.0,97.0,72.0,,45.0,3.0,81.0,62.0,,45.0,3.0,86.0,65.0,,45.0,3.0,84.0,61.0,,46.0,2.0,92.0,64.0,,46.0,3.0,80.0,61.0,,45.0,3.0,80.0,61.0,,46.0,3.0,84.0,62.0,,45.0,3.0,78.0,61.0,,46.0,3.0,84.0,62.0,,46.0,4.0,73.0,59.0,,45.0,2.0,93.0,63.0,,45.0,1.0,97.0,67.0,,45.0,1.0,94.0,63.0,,45.0,1.0,99.0,67.0,,45.0,1.0,97.0,69.0,,45.0,2.0,88.0,63.0,,45.0,2.0,89.0,64.0,,45.0,2.0,94.0,64.0,,45.0,1.0,99.0,72.0
6,,44.0,2.0,92.0,65.0,,41.0,2.0,92.0,66.0,,44.0,4.0,74.0,60.0,,44.0,1.0,96.0,71.0,,43.0,3.0,77.0,60.0,,44.0,3.0,84.0,64.0,,44.0,3.0,79.0,60.0,,45.0,3.0,88.0,63.0,,45.0,3.0,76.0,60.0,,44.0,4.0,76.0,60.0,,45.0,3.0,80.0,61.0,,44.0,4.0,75.0,60.0,,45.0,3.0,80.0,61.0,,45.0,4.0,68.0,58.0,,44.0,2.0,90.0,62.0,,44.0,1.0,96.0,66.0,,44.0,2.0,91.0,62.0,,44.0,1.0,98.0,66.0,,44.0,1.0,96.0,68.0,,44.0,3.0,84.0,62.0,,44.0,3.0,86.0,63.0,,44.0,2.0,89.0,63.0,,44.0,1.0,99.0,71.0
7,,43.0,2.0,89.0,64.0,,40.0,2.0,90.0,65.0,,43.0,4.0,72.0,59.0,,43.0,1.0,96.0,70.0,,41.0,3.0,74.0,58.0,,43.0,3.0,82.0,63.0,,43.0,4.0,75.0,59.0,,44.0,3.0,86.0,62.0,,44.0,4.0,72.0,59.0,,43.0,4.0,73.0,59.0,,44.0,3.0,78.0,60.0,,43.0,4.0,72.0,59.0,,44.0,3.0,78.0,60.0,,44.0,4.0,63.0,57.0,,43.0,3.0,86.0,61.0,,43.0,2.0,94.0,65.0,,43.0,2.0,88.0,61.0,,43.0,1.0,95.0,65.0,,43.0,2.0,95.0,67.0,,43.0,3.0,81.0,61.0,,43.0,3.0,84.0,62.0,,43.0,3.0,85.0,62.0,,43.0,1.0,98.0,70.0
8,,42.0,2.0,89.0,63.0,,39.0,2.0,88.0,64.0,,42.0,4.0,69.0,58.0,,42.0,2.0,94.0,69.0,,40.0,4.0,68.0,57.0,,42.0,3.0,81.0,62.0,,42.0,4.0,72.0,58.0,,43.0,3.0,81.0,61.0,,43.0,4.0,70.0,58.0,,42.0,4.0,70.0,58.0,,43.0,4.0,75.0,59.0,,42.0,4.0,70.0,58.0,,43.0,4.0,75.0,59.0,,43.0,4.0,61.0,56.0,,42.0,3.0,83.0,60.0,,42.0,2.0,92.0,64.0,,42.0,3.0,84.0,60.0,,42.0,2.0,93.0,64.0,,42.0,2.0,93.0,66.0,,42.0,3.0,78.0,60.0,,42.0,3.0,82.0,61.0,,42.0,3.0,82.0,61.0,,42.0,1.0,98.0,69.0
9,,41.0,3.0,86.0,62.0,,38.0,3.0,86.0,63.0,,41.0,4.0,68.0,57.0,,41.0,2.0,93.0,68.0,,39.0,4.0,65.0,56.0,,41.0,3.0,80.0,61.0,,41.0,4.0,69.0,57.0,,42.0,3.0,75.0,60.0,,42.0,4.0,67.0,57.0,,41.0,4.0,68.0,57.0,,42.0,4.0,71.0,58.0,,41.0,4.0,67.0,57.0,,42.0,4.0,72.0,58.0,,42.0,5.0,57.0,55.0,,41.0,3.0,79.0,59.0,,41.0,2.0,90.0,63.0,,41.0,3.0,78.0,59.0,,41.0,2.0,91.0,63.0,,41.0,2.0,92.0,65.0,,41.0,4.0,74.0,59.0,,41.0,3.0,79.0,60.0,,41.0,3.0,78.0,60.0,,41.0,1.0,97.0,68.0
10,,40.0,3.0,83.0,61.0,,37.0,3.0,85.0,62.0,,40.0,4.0,66.0,56.0,,40.0,2.0,92.0,67.0,,38.0,4.0,61.0,55.0,,40.0,3.0,78.0,60.0,,40.0,4.0,65.0,56.0,,41.0,4.0,72.0,59.0,,41.0,4.0,64.0,56.0,,40.0,4.0,65.0,56.0,,41.0,4.0,68.0,57.0,,40.0,4.0,65.0,56.0,,41.0,4.0,70.0,57.0,,41.0,5.0,55.0,54.0,,40.0,4.0,73.0,58.0,,40.0,3.0,87.0,62.0,,40.0,4.0,72.0,58.0,,40.0,2.0,88.0,62.0,,40.0,2.0,90.0,64.0,,40.0,4.0,72.0,58.0,,40.0,3.0,76.0,59.0,,40.0,4.0,74.0,59.0,,40.0,1.0,96.0,67.0
11,,39.0,3.0,82.0,60.0,,36.0,3.0,82.0,61.0,,39.0,4.0,65.0,55.0,,39.0,2.0,90.0,66.0,,37.0,4.0,58.0,54.0,,39.0,4.0,76.0,59.0,,39.0,4.0,62.0,55.0,,40.0,4.0,68.0,58.0,,40.0,4.0,61.0,55.0,,39.0,4.0,63.0,55.0,,40.0,4.0,67.0,56.0,,39.0,4.0,63.0,55.0,,40.0,4.0,67.0,56.0,,40.0,5.0,52.0,53.0,,39.0,4.0,68.0,57.0,,39.0,3.0,85.0,61.0,,39.0,4.0,68.0,57.0,,39.0,3.0,84.0,61.0,,39.0,2.0,88.0,63.0,,39.0,4.0,68.0,57.0,,39.0,4.0,74.0,58.0,,39.0,4.0,70.0,58.0,,39.0,2.0,94.0,66.0
12,,38.0,3.0,78.0,59.0,,35.0,3.0,81.0,60.0,,38.0,4.0,63.0,54.0,,38.0,2.0,89.0,65.0,,34.0,5.0,55.0,51.0,,38.0,4.0,76.0,58.0,,38.0,4.0,59.0,54.0,,39.0,4.0,65.0,57.0,,39.0,4.0,59.0,54.0,,38.0,4.0,61.0,54.0,,39.0,4.0,64.0,55.0,,38.0,4.0,61.0,54.0,,39.0,4.0,64.0,55.0,,39.0,5.0,50.0,52.0,,38.0,4.0,64.0,56.0,,38.0,3.0,80.0,60.0,,38.0,4.0,64.0,56.0,,38.0,3.0,81.0,60.0,,38.0,3.0,87.0,62.0,,38.0,4.0,65.0,56.0,,38.0,4.0,72.0,57.0,,38.0,4.0,67.0,57.0,,38.0,2.0,93.0,65.0
13,,37.0,4.0,76.0,58.0,,34.0,3.0,80.0,59.0,,37.0,4.0,62.0,53.0,,37.0,3.0,88.0,64.0,,30.0,5.0,48.0,47.0,,37.0,4.0,75.0,57.0,,37.0,5.0,56.0,53.0,,38.0,4.0,63.0,56.0,,38.0,5.0,57.0,53.0,,37.0,5.0,58.0,53.0,,38.0,4.0,61.0,54.0,,37.0,4.0,59.0,53.0,,38.0,4.0,62.0,54.0,,38.0,5.0,48.0,51.0,,37.0,4.0,61.0,55.0,,37.0,3.0,75.0,59.0,,37.0,4.0,60.0,55.0,,37.0,3.0,77.0,59.0,,37.0,3.0,83.0,61.0,,37.0,4.0,63.0,55.0,,37.0,4.0,68.0,56.0,,37.0,4.0,65.0,56.0,,37.0,2.0,91.0,64.0
14,,36.0,4.0,74.0,57.0,,33.0,3.0,77.0,58.0,,36.0,4.0,60.0,52.0,,36.0,3.0,86.0,63.0,,29.0,5.0,42.0,46.0,,36.0,4.0,74.0,56.0,,36.0,5.0,53.0,52.0,,37.0,4.0,61.0,55.0,,37.0,5.0,55.0,52.0,,36.0,5.0,56.0,52.0,,37.0,5.0,59.0,53.0,,36.0,5.0,57.0,52.0,,37.0,4.0,59.0,53.0,,37.0,5.0,46.0,50.0,,36.0,5.0,57.0,54.0,,36.0,4.0,72.0,58.0,,36.0,5.0,57.0,54.0,,36.0,4.0,74.0,58.0,,36.0,3.0,80.0,60.0,,36.0,4.0,60.0,54.0,,36.0,4.0,65.0,55.0,,36.0,4.0,61.0,55.0,,36.0,2.0,90.0,63.0
15,,35.0,4.0,70.0,56.0,,32.0,4.0,73.0,57.0,,35.0,5.0,58.0,51.0,,35.0,3.0,84.0,62.0,,27.0,6.0,35.0,44.0,,35.0,4.0,73.0,55.0,,35.0,5.0,51.0,51.0,,36.0,5.0,59.0,54.0,,36.0,5.0,53.0,51.0,,35.0,5.0,54.0,51.0,,36.0,5.0,57.0,52.0,,35.0,5.0,55.0,51.0,,36.0,5.0,56.0,52.0,,36.0,5.0,44.0,49.0,,35.0,5.0,53.0,53.0,,35.0,4.0,69.0,57.0,,35.0,5.0,53.0,53.0,,35.0,4.0,70.0,57.0,,35.0,3.0,77.0,59.0,,35.0,5.0,57.0,53.0,,35.0,4.0,63.0,54.0,,35.0,5.0,58.0,54.0,,35.0,3.0,87.0,62.0
16,,34.0,4.0,68.0,55.0,,31.0,4.0,70.0,56.0,,34.0,5.0,56.0,50.0,,34.0,3.0,83.0,61.0,,26.0,6.0,29.0,43.0,,34.0,4.0,72.0,54.0,,34.0,5.0,48.0,50.0,,35.0,5.0,58.0,53.0,,35.0,5.0,50.0,50.0,,34.0,5.0,52.0,50.0,,35.0,5.0,54.0,51.0,,34.0,5.0,53.0,50.0,,35.0,5.0,54.0,51.0,,35.0,5.0,42.0,48.0,,34.0,5.0,50.0,52.0,,34.0,4.0,66.0,56.0,,34.0,5.0,51.0,52.0,,34.0,4.0,66.0,56.0,,34.0,4.0,75.0,58.0,,34.0,5.0,56.0,52.0,,34.0,4.0,61.0,53.0,,34.0,5.0,56.0,53.0,,34.0,3.0,83.0,61.0
17,,33.0,4.0,65.0,54.0,,30.0,4.0,66.0,55.0,,33.0,5.0,54.0,49.0,,33.0,3.0,81.0,60.0,,25.0,7.0,19.0,42.0,,33.0,4.0,71.0,53.0,,33.0,5.0,45.0,49.0,,34.0,5.0,56.0,52.0,,34.0,5.0,49.0,49.0,,33.0,5.0,50.0,49.0,,34.0,5.0,51.0,50.0,,33.0,5.0,51.0,49.0,,34.0,5.0,51.0,50.0,,34.0,5.0,41.0,47.0,,33.0,5.0,48.0,51.0,,33.0,4.0,63.0,55.0,,33.0,5.0,48.0,51.0,,33.0,4.0,63.0,55.0,,33.0,4.0,72.0,57.0,,33.0,5.0,54.0,51.0,,33.0,5.0,57.0,52.0,,33.0,5.0,54.0,52.0,,33.0,3.0,80.0,60.0
18,,32.0,4.0,62.0,53.0,,29.0,4.0,62.0,54.0,,32.0,5.0,51.0,48.0,,32.0,3.0,80.0,59.0,,22.0,7.0,16.0,39.0,,32.0,4.0,68.0,52.0,,32.0,5.0,42.0,48.0,,33.0,5.0,54.0,51.0,,33.0,5.0,46.0,48.0,,32.0,5.0,48.0,48.0,,33.0,5.0,49.0,49.0,,32.0,5.0,49.0,48.0,,33.0,5.0,48.0,49.0,,33.0,6.0,39.0,46.0,,32.0,5.0,45.0,50.0,,32.0,4.0,61.0,54.0,,32.0,5.0,45.0,50.0,,32.0,4.0,59.0,54.0,,32.0,4.0,70.0,56.0,,32.0,5.0,51.0,50.0,,32.0,5.0,54.0,51.0,,32.0,5.0,51.0,51.0,,32.0,3.0,77.0,59.0
