등급,성공적인 직업생활,농업 기초 기술,공업 일반,상업 경제,수산·해운 산업 기초,인간발달,생활과 윤리,윤리와 사상,한국지리,세계지리,동아시아사,세계사,경제,정치와 법,사회·문화,물리학 Ⅰ,화학 Ⅰ,생명과학 Ⅰ,지구과학 Ⅰ,물리학 Ⅱ,화학 Ⅱ,생명과학 Ⅱ,지구과학 Ⅱ
,등급,등급,등급,등급,등급,등급,등급,등급,등급,등급,등급,등급,등급,등급,등급,등급,등급,등급,등급,등급,등급,등급,등급
,구분 점수,구분 점수,구분 점수,구분 점수,구분 점수,구분 점수,구분 점수,구분 점수,구분 점수,구분 점수,구분 점수,구분 점수,구분 점수,구분 점수,구분 점수,구분 점수,구분 점수,구분 점수,구분 점수,구분 점수,구분 점수,구분 점수,구분 점수
1,68,67,66,70,66,70,64,66,65,66,66,66,66,63,64,66,63,65,68,66,67,65,67
2,63,64,64,65,65,66,62,64,63,64,64,64,64,62,62,63,61,62,63,63,64,63,63
3,59,58,61,58,58,60,60,60,60,61,60,61,60,60,59,59,59,59,59,60,59,60,59
4,52,54,52,50,54,49,54,55,54,54,54,53,53,56,55,54,55,54,53,54,53,55,53
5,47,47,45,46,46,45,47,45,46,45,46,45,46,47,48,46,49,47,46,45,46,46,46
6,42,43,41,42,43,42,41,40,40,41,41,40,41,39,40,41,41,40,41,41,41,40,40
7,38,39,38,40,37,40,36,37,37,37,37,38,38,36,36,37,36,37,38,38,38,37,37
8,33,34,35,37,37미만,38,33,35,34,35,35,36,35,33,33,34,31,33,35,35,35,35,35
9,33미만,34미만,35미만,37미만,ㅡ,38미만,33미만,35미만,34미만,35미만,35미만,36미만,35미만,33미만,33미만,34미만,31미만,33미만,35미만,35미만,35미만,35미만,35미만
