성공적인 직업생활,,,농업 기초 기술,,,공업 일반,,,상업 경제,,,수산·해운 산업 기초,,,인간 발달,,,생활과 윤리,,,윤리와 사상,,,한국지리,,,세계지리,,,동아시아사,,,세계사,,,경제,,,정치와 법,,,사회·문화,,,물리학 I,,,화학 I,,,생명과학 I,,,지구과학 I,,,물리학 II,,,화학 II,,,생명과학 II,,,지구과학 II,,
표준점수,계,누적(계),표준점수,계,누적(계),표준점수,계,누적(계),표준점수,계,누적(계),표준점수,계,누적(계),표준점수,계,누적(계),표준점수,계,누적(계),표준점수,계,누적(계),표준점수,계,누적(계),표준점수,계,누적(계),표준점수,계,누적(계),표준점수,계,누적(계),표준점수,계,누적(계),표준점수,계,누적(계),표준점수,계,누적(계),표준점수,계,누적(계),표준점수,계,누적(계),표준점수,계,누적(계),표준점수,계,누적(계),표준점수,계,누적(계),표준점수,계,누적(계),표준점수,계,누적(계),표준점수,계,누적(계)
71,71,71,75,1,1,66,114,114,77,3,3,67,1,1,70,62,62,66,"3,951","3,951",68,176,176,65,"1,790","1,790",66,"1,615","1,615",66,"1,231","1,231",66,"1,100","1,100",66,305,305,63,"1,797","1,797",68,"1,018","1,018",72,106,106,68,469,469,72,138,138,74,473,473,68,50,50,69,63,63,69,6,6,77,2,2
69,15,86,73,2,3,64,148,262,75,3,6,66,1,2,68,47,109,64,"9,818","13,769",67,49,225,64,"1,948","3,738",64,"2,032","3,647",65,232,"1,463",64,"1,222","2,322",65,111,416,62,"1,789","3,586",66,"1,818","2,836",70,149,255,66,426,895,70,183,321,72,349,822,66,104,154,67,125,188,67,121,127,75,2,4
68,146,232,69,5,8,63,1,263,74,19,25,65,2,4,67,1,110,63,104,"13,873",66,"1,209","1,434",63,"1,197","4,935",63,"1,035","4,682",64,"1,477","2,940",63,350,"2,672",64,246,662,61,873,"4,459",65,"1,414","4,250",69,447,702,65,"1,404","2,299",69,549,870,71,"1,258","2,080",65,55,209,66,10,198,66,10,137,74,13,17
67,1,233,68,1,9,62,38,301,73,6,31,63,1,5,66,19,129,62,"2,786","16,659",65,6,"1,440",62,"2,958","7,893",62,856,"5,538",63,45,"2,985",62,952,"3,624",63,31,693,60,"2,426","6,885",64,"1,378","5,628",68,744,"1,446",64,237,"2,536",68,69,939,70,176,"2,256",64,88,297,65,101,299,65,172,309,73,1,18
66,39,272,67,6,15,61,84,385,72,35,66,62,1,6,65,30,159,61,"9,520","26,179",64,"2,400","3,840",61,734,"8,627",61,"1,672","7,210",62,"1,606","4,591",61,438,"4,062",62,332,"1,025",59,500,"7,385",63,"5,330","10,958",67,519,"1,965",63,"3,105","5,641",67,"1,229","2,168",69,"3,028","5,284",63,141,438,64,99,398,64,187,496,72,16,34
65,209,481,66,6,21,60,31,416,71,4,70,60,1,7,64,22,181,60,"5,491","31,670",63,82,"3,922",60,"2,756","11,383",60,535,"7,745",61,155,"4,746",60,733,"4,795",61,112,"1,137",58,"1,848","9,233",62,"4,851","15,809",66,817,"2,782",62,"1,389","7,030",66,"2,367","4,535",68,774,"6,058",62,81,519,63,99,497,63,400,896,71,20,54
64,1,482,65,4,25,59,38,454,70,21,91,58,2,9,63,13,194,59,"6,118","37,788",62,"1,112","5,034",59,559,"11,942",59,"1,434","9,179",60,716,"5,462",59,412,"5,207",60,166,"1,303",57,655,"9,888",61,"4,692","20,501",65,"1,468","4,250",61,"2,950","9,980",65,"3,522","8,057",67,"2,201","8,259",61,75,594,62,46,543,62,136,"1,032",70,11,65
63,59,541,64,7,32,58,24,478,69,30,121,57,1,10,62,7,201,58,"1,620","39,408",61,"2,065","7,099",58,"1,202","13,144",58,549,"9,728",59,660,"6,122",58,231,"5,438",59,191,"1,494",56,708,"10,596",60,"2,043","22,544",64,890,"5,140",60,"3,438","13,418",64,"2,502","10,559",66,"2,036","10,295",60,143,737,61,78,621,61,244,"1,276",69,32,97
62,203,744,63,1,33,57,36,514,68,7,128,56,1,11,61,19,220,57,"4,903","44,311",60,"1,319","8,418",57,"1,615","14,759",57,626,"10,354",58,975,"7,097",57,577,"6,015",58,133,"1,627",55,995,"11,591",59,"7,947","30,491",63,"2,038","7,178",59,"5,887","19,305",63,"2,767","13,326",65,"1,632","11,927",59,83,820,60,124,745,60,257,"1,533",68,33,130
